Subcategory,Control,subcategory_code,subcategory_description,function_code,function,function_name,category_code,Category,category_name,category_description,category_name_and_code
ID.RA-6: Risk responses are identified and prioritized,PM-9,ID.RA-6,Risk responses are identified and prioritized,ID,Identify (ID),Identify,ID.RA,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",Risk Assessment (ID.RA)
"ID.RM-1: Risk management processes are established, managed, and agreed to by organizational stakeholders",PM-9,ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",ID,Identify (ID),Identify,ID.RM,"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy (ID.RM)
ID.RM-2: Organizational risk tolerance is determined and clearly expressed,PM-9,ID.RM-2,Organizational risk tolerance is determined and clearly expressed,ID,Identify (ID),Identify,ID.RM,"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy (ID.RM)
ID.RM-3: The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,PM-8,ID.RM-3,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,ID,Identify (ID),Identify,ID.RM,"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy (ID.RM)
ID.RM-3: The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,PM-9,ID.RM-3,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,ID,Identify (ID),Identify,ID.RM,"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy (ID.RM)
ID.RM-3: The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,PM-11,ID.RM-3,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,ID,Identify (ID),Identify,ID.RM,"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy (ID.RM)
ID.RM-3: The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,SA-14,ID.RM-3,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,ID,Identify (ID),Identify,ID.RM,"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",Risk Management Strategy (ID.RM)
PR.AC-1: Identities and credentials are managed for authorized devices and users,AC-2,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,AC-7,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,AC-8,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,AC-9,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-1,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-2,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-3,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-4,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-5,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-6,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-7,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-8,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-9,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-10,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,IA-11,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-1: Identities and credentials are managed for authorized devices and users,SC-17,PR.AC-1,Identities and credentials are managed for authorized devices and users,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-2: Physical access to assets is managed and protected,PE-2,PR.AC-2,Physical access to assets is managed and protected,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-2: Physical access to assets is managed and protected,PE-3,PR.AC-2,Physical access to assets is managed and protected,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-2: Physical access to assets is managed and protected,PE-4,PR.AC-2,Physical access to assets is managed and protected,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-2: Physical access to assets is managed and protected,PE-5,PR.AC-2,Physical access to assets is managed and protected,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-2: Physical access to assets is managed and protected,PE-6,PR.AC-2,Physical access to assets is managed and protected,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-2: Physical access to assets is managed and protected,PE-8,PR.AC-2,Physical access to assets is managed and protected,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-2: Physical access to assets is managed and protected,PE-9,PR.AC-2,Physical access to assets is managed and protected,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-3: Remote access is managed,AC‑17,PR.AC-3,Remote access is managed,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-3: Remote access is managed,AC-19,PR.AC-3,Remote access is managed,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-3: Remote access is managed,AC-20,PR.AC-3,Remote access is managed,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-3: Remote access is managed,PE-17,PR.AC-3,Remote access is managed,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AC-3: Remote access is managed,SC-15,PR.AC-3,Remote access is managed,PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",AC-2,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",AC-3,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",AC-5,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",AC-6,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",AC-10,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",AC-11,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",AC-12,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",AC-14,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",AC-16,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",AC-24,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",SC-2,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",SC-3,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties",SC-4,PR.AC-4,"Access permissions are managed, incorporating the principles of least privilege and separation of duties",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-5: Network integrity is protected, incorporating network segregation where appropriate",AC-4,PR.AC-5,"Network integrity is protected, incorporating network segregation where appropriate",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
"PR.AC-5: Network integrity is protected, incorporating network segregation where appropriate",SC-7,PR.AC-5,"Network integrity is protected, incorporating network segregation where appropriate",PR,Protect (PR),Protect,PR.AC,"Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",Access Control (PR.AC)
PR.AT-1: All users are informed and trained ,AT-2,PR.AT-1,All users are informed and trained ,PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
PR.AT-1: All users are informed and trained ,PM-13,PR.AT-1,All users are informed and trained ,PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
PR.AT-2: Privileged users understand roles & responsibilities ,AT-3,PR.AT-2,Privileged users understand roles & responsibilities ,PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
PR.AT-2: Privileged users understand roles & responsibilities ,PM-13,PR.AT-2,Privileged users understand roles & responsibilities ,PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
"PR.AT-3: Third-party stakeholders (e.g., suppliers, customers, partners) understand roles & responsibilities ",PS-7,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand roles & responsibilities ",PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
"PR.AT-3: Third-party stakeholders (e.g., suppliers, customers, partners) understand roles & responsibilities ",SA-9,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand roles & responsibilities ",PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
"PR.AT-3: Third-party stakeholders (e.g., suppliers, customers, partners) understand roles & responsibilities ",SA-16,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand roles & responsibilities ",PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
PR.AT-4: Senior executives understand roles & responsibilities ,AT-3,PR.AT-4,Senior executives understand roles & responsibilities ,PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
PR.AT-4: Senior executives understand roles & responsibilities ,PM-13,PR.AT-4,Senior executives understand roles & responsibilities ,PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
PR.AT-5: Physical and information security personnel understand roles & responsibilities ,AT-3,PR.AT-5,Physical and information security personnel understand roles & responsibilities ,PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
PR.AT-5: Physical and information security personnel understand roles & responsibilities ,IR-2,PR.AT-5,Physical and information security personnel understand roles & responsibilities ,PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
PR.AT-5: Physical and information security personnel understand roles & responsibilities ,PM-13,PR.AT-5,Physical and information security personnel understand roles & responsibilities ,PR,Protect (PR),Protect,PR.AT,"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",Awareness and Training (PR.AT)
PR.DS-1: Data-at-rest is protected,MP-8,PR.DS-1,Data-at-rest is protected,PR,Protect (PR),Protect,PR.DS,"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",Data Security,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",Data Security (PR.DS)
PR.DS-1: Data-at-rest is protected,SC-12,PR.DS-1,Data-at-rest is protected,PR,Protect (PR),Protect,PR.DS,"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",Data Security,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",Data Security (PR.DS)
PR.DS-1: Data-at-rest is protected,SC-28,PR.DS-1,Data-at-rest is protected,PR,Protect (PR),Protect,PR.DS,"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",Data Security,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",Data Security (PR.DS)
PR.DS-2: Data-in-transit is protected,SC-8,PR.DS-2,Data-in-transit is protected,PR,Protect (PR),Protect,PR.DS,"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",Data Security,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",Data Security (PR.DS)
PR.DS-2: Data-in-transit is protected,SC-11,PR.DS-2,Data-in-transit is protected,PR,Protect (PR),Protect,PR.DS,"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",Data Security,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",Data Security (PR.DS)
